name,distance,time,elevation_gain,moving_time,average_heartrate,max_heartrate
Morning Ride,1.4734570523000001,2023-08-10T13:27:19Z,4,766,106.4,126
Warmdown for ~10 miles today. Should have been 11,1.5342271361,2023-08-10T11:45:55Z,14,753,150.3,185
Thursday morning grind 🧑‍🌾,8.39472221,2023-08-10T10:42:01Z,96,3399,146.7,169
Good weather good vibes good company,7.5925322490000005,2023-08-08T22:04:20Z,88,4135,136.9,159
Lower Manhattan run ,6.0259316838,2023-08-07T22:30:39Z,36,3180,129.2,150
50 mpw b2b,15.924806673500001,2023-08-06T12:29:32Z,39,6907,159.7,183
Podcast & Z2,6.0648916455,2023-08-05T15:07:30Z,15,3212,146.5,163
1 hour steady,8.2276976852,2023-08-04T21:00:08Z,95,3744,155.9,174
Bridle path with sis ,4.7370218185,2023-08-03T21:20:11Z,46,2835,131.3,149
Steady 10k,6.6308984894,2023-08-02T21:32:55Z,17,3073,146.2,167
Midweek LR,10.1367979456,2023-08-01T21:53:48Z,112,4543,155.1,170
2 hours 2 loops,16.3391368563,2023-07-30T19:30:33Z,210,7200,160.3,174
Flyby with nick,6.3819151297,2023-07-29T12:04:45Z,6,3052,157,173
Hottest run of the year ,5.6702589234,2023-07-28T18:58:30Z,25,2699,153.1,175
EZ treadmill run,4.800090975,2023-07-28T00:58:50Z,0,2400,110.9,135
Warmdown,3.2259718207,2023-07-27T01:14:37Z,37,1651,154.8,171
Tempo run in the heat,4.9479151359,2023-07-27T00:38:23Z,58,1952,169.6,190
Conversational pace run 🗣️🗣️🗣️,9.6378991697,2023-07-24T21:16:23Z,125,4795,149.4,169
48 miles this week 🪺,4.8839139229,2023-07-23T14:32:55Z,15,2317,146.4,158
Double loop long run,15.383903218,2023-07-22T11:29:23Z,212,6862,162.2,182
35min Steady ,4.4703915224,2023-07-21T21:15:23Z,12,2107,143.4,156
Dirt road Z2,8.90424643,2023-07-20T23:45:57Z,115,4551,146.5,165
Sunset sweat & vibes,9.9877310427,2023-07-18T23:51:59Z,107.3,4689,154.4,171
Treadmill and podcast. A guilty pleasure ,4.677743025100001,2023-07-17T23:33:01Z,0,2400,125.2,140
Base building 🫀 45 miles 🦿,13.7125395022,2023-07-16T22:07:53Z,22,6035,162.9,184
Steady 5,5.4387982259,2023-07-15T12:35:49Z,10,2501,147.5,166
"Feels like 91°",4.717448632,2023-07-14T20:06:23Z,11,2244,151.1,165
Sunset Bridle path with the runnerds,4.6334392728000005,2023-07-13T23:26:14Z,55,2872,135.5,152
Evening Run,0.6570376954000001,2023-07-13T22:50:03Z,12,538,130.3,151
Warmdown,1.3332136176,2023-07-13T01:08:08Z,4,704,158.5,167
Brutal tempo run 🔥🫀,5.5628860146,2023-07-13T00:27:38Z,4,2223,164.1,190
Good vibes with the runnerds,8.9569386908,2023-07-10T21:25:47Z,100,4425,151.1,176
44 miles this week wasnt easy with the humidity 🏃💦,6.144178585100001,2023-07-09T15:02:27Z,89,3123,142.8,163
Note to self don't drink too much water at once,0.7796341937000001,2023-07-08T15:29:33Z,4,408,154.2,168
Accidentally ended early. 1 mile from home,11.822453194400001,2023-07-08T13:20:11Z,27,5356,160.5,187
First time running the bridle path,6.6834043389,2023-07-07T23:01:09Z,78,3460,149.7,173
EZ Run,4.3797334935,2023-07-06T22:56:43Z,12,2207,151.2,163
♨️🌡️,8.107959493500001,2023-07-06T00:19:17Z,18,3783,151.2,177
So much sweat 💦,6.2277529846,2023-07-03T22:19:25Z,11,2781,158,186
42 miles this week ✅,5.322539711799999,2023-07-02T15:50:34Z,75,2713,147.2,164
Getting used to these humid morning runs,12.180673575900002,2023-07-01T11:18:53Z,27,5258,152.6,179
Slow cooking myself back in shape,6.438087068100001,2023-06-30T16:11:18Z,22,2811,155.3,182
Solid sweat sesh,6.7528114796,2023-06-28T21:32:31Z,84,3172,153.8,169
Feeling decent ,4.4810791036,2023-06-27T22:19:16Z,18,1986,146.9,166
Moist miles with Nick,7.1573240006,2023-06-26T21:57:55Z,18,3434,150,176
Struggle Run. Kept having to take breaks,7.6884097943,2023-06-25T13:12:09Z,18,3496,140.7,168
Wet Swampy run,7.3675338099,2023-06-24T13:32:06Z,16,3317,151.1,172
Muggy out there,4.7688360137,2023-06-23T19:56:24Z,13,2165,144.7,171
Evening Run,4.4090622047,2023-06-22T22:58:00Z,9,2035,135,164
Fatigued and nauseous ,3.0068764061000004,2023-06-21T23:52:13Z,42,1469,144,166
Hour back on le hudson,8.0420941675,2023-06-20T23:09:03Z,21,3635,148.8,168
Treadmill for the 40mpw finish,2.4274479486,2023-06-18T23:47:42Z,0,1234,127,137
Last Phoenix Trail run,3.5305057478000004,2023-06-18T15:32:20Z,60,1841,151.6,165
Getting heat acclimated ♨️🌡️,7.384372964,2023-06-17T15:09:46Z,46,3254,163.3,179
Back on the trail!,5.826098770200001,2023-06-16T15:25:23Z,82,2740,161.6,176
First run in Phoenix is always the hardest ,6.6390384495,2023-06-15T13:25:12Z,45,2949,166.5,178
10 miler with Franklin,10.1395941151,2023-06-13T22:02:14Z,136,5511,153.4,169
Solid run with sis,4.5771430602,2023-06-13T02:04:08Z,19,2776,131.2,152
Love this route 🌉,7.0678465766,2023-06-11T23:31:43Z,58,3270,148.7,166
I've run this trail virtually on the treadmill before,8.008664407700001,2023-06-10T16:06:27Z,61,3624,145.8,164
Very out of shape 😔,5.1493636141,2023-06-09T22:10:56Z,82,2371,154.1,177
Wish I could run outside,4.2599953018,2023-06-07T19:30:39Z,0,2100,135,155
Hazy smoky ,6.077567613899999,2023-06-06T22:50:11Z,19,2752,153.6,174
Lung buster 🫁🔥,5.7343222735,2023-06-04T12:43:47Z,17,2487,140.7,168
Back on the road. ,3.3097326315,2023-06-02T21:34:57Z,14,1434,143,168
rhinitis,0.8711000049000001,2023-05-29T20:18:27Z,0,408,129.1,150
Morning run + target run 🎯,6.5017154585000005,2023-05-27T13:03:13Z,28,3039,139.9,158
1 hour struggle run,8.118336389200001,2023-05-26T19:57:43Z,19,3632,150.9,173
LR with the bros,9.6009275952,2023-05-24T20:45:55Z,137,4311,151.4,175
Easy run,4.1990388067,2023-05-22T21:43:22Z,54,2121,143.2,163
Steady 60min,8.0251928763,2023-05-21T21:59:38Z,26,3682,145.4,162
Fun race!! 1:29:31 official time.,13.334124563200001,2023-05-20T11:05:41Z,80,5303,161,183
Shakeout ,4.7312430682,2023-05-19T18:00:39Z,27,2142,141.7,160
Run with Eric,8.5383831852,2023-05-17T22:21:54Z,116,3997,141.8,158
Wasn't feeling it ,0.33125288010000004,2023-05-16T22:30:30Z,0,166,127.5,146
WSH 10k,6.2223470568999995,2023-05-15T23:50:40Z,15,3096,137.1,153
Less than a week away from BK Half,11.0090164183,2023-05-14T14:00:21Z,36,4603,146.3,163
Easy Run,4.0602245253,2023-05-13T22:01:07Z,7,1976,133.1,152
Warmdown,1.032718602,2023-05-13T00:20:37Z,4,518,147.5,163
Feeling faster in the Adidas than the sauconys. Might switch teams ,7.0100590736,2023-05-12T23:24:23Z,10,2910,151.1,169
Steasy,5.1712358733,2023-05-10T23:19:16Z,17,2466,135.7,153
4 steady 4 uptempo ,8.0693723544,2023-05-09T23:36:52Z,9,3382,148.2,168
Getting crazy out there. Saw a crash ,7.0167698804,2023-05-08T21:08:36Z,109,3287,146.1,163
Warmdown,2.0041700234,2023-05-07T18:24:04Z,12,983,143.3,171
🥵🌡️,6.0110809169,2023-05-07T17:29:25Z,16,2395,156.8,180
5 miler with Lawdog before our softball game ⚾,5.1235145805,2023-05-06T15:54:49Z,77,2546,149,169
Cinco de mayo run with Eric 🇲🇽,8.0015807783,2023-05-05T21:27:55Z,103,3793,151.1,163
Steasy run,4.5803120523,2023-05-05T00:02:28Z,28,2310,148.2,176
Weekday LR,10.172216092600001,2023-05-03T22:02:01Z,129,4346,151.4,167
Afternoon Run,0.4586960722,2023-05-03T21:54:54Z,15,295,117.6,134
Easy miles with Nick,5.845982642200001,2023-05-01T21:23:58Z,30,3000,145.8,160
Warmdown,1.8801443718000002,2023-04-30T15:06:39Z,7,937,144.2,156
Workout 💔🫀,5.0982247808,2023-04-30T14:23:32Z,12,2009,150.6,172
Easy Treadmill Run,4.116582875,2023-04-29T18:34:43Z,0,2400,124.1,145
Steasy 8,8.002015738,2023-04-28T20:44:35Z,26,3809,151.2,176
Easy ,0.6946927780000001,2023-04-27T00:16:59Z,6,376,138.9,149
Smooth 6:40s,7.278802031100001,2023-04-26T23:23:22Z,18,2991,151.7,163
Great Vibes,9.143474265,2023-04-25T22:35:45Z,133,4156,150.9,170
❤️‍🩹,5.250398538700001,2023-04-24T23:23:42Z,15,2597,146.8,161
Warmdown,2.7701340551,2023-04-23T17:13:14Z,32,1349,139.6,160
Speed workout 💀🥴,4.0077808129,2023-04-23T16:37:26Z,6,1483,140.5,160
Steasy,4.6333149986,2023-04-22T16:45:28Z,9,2219,147.7,165
CP run w/ Frank ,8.5281927008,2023-04-21T19:51:08Z,115,3781,149.9,166
Morning Treadmill run,4.1652362243,2023-04-20T11:21:50Z,0,2400,127.3,146
Breezyy 8,8.002015738,2023-04-18T23:53:39Z,46,3501,148.1,163
Recovering from unlimited beer + all you can eat hotpot ,8.223969459200001,2023-04-17T22:13:00Z,98,3851,156.9,175
Pats run,4.8635329541,2023-04-15T15:11:31Z,9,1908,147.6,161
Easy treadmill run ,4.1660440066,2023-04-14T23:07:00Z,0,2400,128.6,147
🌞💦,7.009499839700001,2023-04-13T19:38:52Z,41,3240,154,166
Pre Gambling Long Run 🃏♦️,10.477557802,2023-04-12T22:27:12Z,23,4571,156.2,177
Ez5,5.1573793,2023-04-10T23:33:56Z,9,2416,146.3,162
Lunch Run,0.9846866237,2023-04-09T15:53:17Z,7,475,147.6,158
Training for the shorter summer races ⚡,7.004156049100001,2023-04-09T14:56:56Z,22,2935,147.7,169
🌸,7.2208902538999995,2023-04-08T20:53:05Z,11,3165,137.8,157
3rd pair of endorphin speeds ,6.010521683,2023-04-07T19:18:23Z,37,2551,147.1,166
Took 3 days off because I had a gnarly blister ,4.053886541100001,2023-04-06T21:43:12Z,8,1842,122.2,141
Warmdown,4.1953727178,2023-04-02T17:40:21Z,17,1893,144.9,160
LT workout,8.1752539728,2023-04-02T16:43:48Z,32,3167,150.8,166
☀️🌞,4.462748659100001,2023-04-01T20:08:56Z,29,2069,144.9,165
Central park to pizza shop,5.836724214299999,2023-03-31T23:02:11Z,80,2787,150.3,163
Cruise control,8.006986706,2023-03-30T23:07:12Z,15,3773,144.1,161
Beautiful day,8.025006465,2023-03-29T21:53:21Z,107,3456,144.3,168
Lift + treadmill run + foam roller,4.1790306605000005,2023-03-28T00:01:16Z,0,2401,130.3,136
Randall's island Long run,16.4913727513,2023-03-26T14:03:15Z,218,7270,156.5,181
Morning Run,0.7103513272,2023-03-26T13:42:58Z,23,333,114,124
30 min treadmill run,3.0488189486,2023-03-25T18:47:35Z,0,1800,138,155
Recovery run,4.4893433379,2023-03-24T21:17:20Z,9,2144,146.8,162
Late night run 🌃🏃‍♂️💨,8.0033827542,2023-03-24T00:48:32Z,13,3466,146.3,166
Steady run,7.5161036160000005,2023-03-21T23:17:51Z,13,3398,145.2,161
Easy run ,4.7620009327,2023-03-20T23:43:40Z,61,2323,142.4,157
Recovery Run,5.6655986409,2023-03-19T17:59:51Z,115,2607,151.8,167
Long run ,13.1648631028,2023-03-18T16:56:33Z,45,5595,154.8,168
🩳,6.1467883433,2023-03-17T22:49:48Z,22,2856,146.1,159
Peak running weather ,8.2046448211,2023-03-15T22:53:58Z,137,3541,148.5,168
Treadmill Run,4.4532416828,2023-03-15T00:31:49Z,0,2520,130.6,146
Missed my long run last weekend,6.4149720669,2023-03-13T21:23:55Z,21,2809,146.8,163
Treadmill,5.0017258645,2023-03-11T14:21:15Z,0,2937,131.5,154
Walking the dog,2.503503759,2023-03-10T20:56:51Z,14,1402,125.7,156
New friend for the weekend 🐕‍🦺,2.8663222859,2023-03-09T22:49:42Z,6,1677,146.7,163
Afternoon Run,3.1342574611000003,2023-03-09T22:17:47Z,18,1465,154.7,168
Steady 8,8.2464009523,2023-03-08T22:46:54Z,105,3723,145.7,167
Windy 🌬️🍃🎐,6.036805676299999,2023-03-08T00:12:09Z,96,2784,146.1,163
Wasn't feeling the treadmill today ,0.42955377229999997,2023-03-07T00:47:10Z,0,248,129.8,140
Sunday long run,10.518816836400001,2023-03-05T20:58:37Z,65,4576,147.4,163
Steady miles. Started too fast,7.5536965615,2023-03-04T17:29:13Z,27,3334,149.8,175
Back on the river path with Nick,5.7286677974,2023-03-03T21:29:11Z,12,2717,143.7,160
Getting 8 for the day,3.0026510833,2023-03-03T01:16:07Z,32,1463,154.8,174
Speedwork 🚅,5.183228333600001,2023-03-03T00:33:38Z,66,2108,144.1,160
Tuesday 8,8.013573238600001,2023-03-01T00:01:17Z,100,3529,146.3,174
Easy run w Eric,4.2998251829,2023-02-27T23:25:47Z,30,2356,140.1,157
Hungover long run,12.0081809863,2023-02-26T18:45:13Z,46,5081,151.2,169
Treadmill run,4.2752810284,2023-02-25T16:12:24Z,0,2401,145.7,160
Morning miles 🌄,5.1436470009,2023-02-24T12:52:48Z,55,2196,144.6,163
Easy running backs towards the office,4.6921588323000005,2023-02-22T23:48:23Z,18,2358,148.2,159
Mid-Week Long(ish) Run,9.087985834700001,2023-02-22T00:28:42Z,91,4102,155.7,172
Lunch Run,6.8396791454,2023-02-20T17:42:57Z,71,2975,151.9,167
Running to the noodle shop with Eric,6.0028788197,2023-02-19T18:52:36Z,71,2994,152.9,167
Warmdown ,1.9461961091,2023-02-18T18:38:45Z,11,941,156.9,175
Getting back up there,10.171221899,2023-02-18T17:16:30Z,47,4262,158.8,195
40 min treadmill run,4.5592475754,2023-02-18T00:48:43Z,0,2401,153.1,164
Recovery Run ,4.0354939595,2023-02-16T23:33:45Z,13,2025,141.8,158
Sunburnt out of shape but ready to train,8.255970065700001,2023-02-15T23:04:26Z,98,3555,162.5,181
Evening Run,0.7596260475000001,2023-02-13T22:56:50Z,0,369,,
Evening Run,2.897452973,2023-02-12T23:34:10Z,3.2,1398,,
So warm,3.2400148053,2023-02-10T14:16:12Z,15,1467,154.4,173
Steasy run,4.5580669705,2023-02-09T00:12:21Z,8,2190,146.9,163
Power hour,8.038055256,2023-02-07T23:35:12Z,28,3636,141.4,162
Omw back to 40mpw,7.5932157571,2023-02-05T17:03:11Z,118,3373,145.3,168
Frosty,6.2730509305,2023-02-04T16:41:38Z,24,2752,149.6,162
Easy treadmill run,3.2305699661000005,2023-02-04T00:24:00Z,0,1805,139.9,148
Steasy don't feel easy,6.0451320477,2023-02-03T00:19:04Z,42,2955,145.7,164
One week since my tooth extraction,8.1857551427,2023-02-02T00:03:23Z,109,3633,156,173
Ez 35 min treadmill,4.1668517889,2023-02-01T00:02:37Z,0,2100,139.2,154
Warm for January ,4.5702458421,2023-01-29T18:57:56Z,22,2187,152,168
Easy miles,4.3447503062,2023-01-28T18:23:29Z,29,2077,143.8,165
Post tooth implant run,3.2125502071000005,2023-01-27T23:57:58Z,0,1802,133.4,148
Steady 10k,6.3329510949,2023-01-24T23:23:24Z,17,2845,152.1,174
Steasy,5.5453633524,2023-01-24T00:23:42Z,82,2647,149.3,170
Warmdown ,0.6802769707999999,2023-01-22T17:19:05Z,4,358,133.1,145
tempo run ,7.306763726100001,2023-01-22T16:25:16Z,23,2964,151.6,177
Ez hour run,6.629407199,2023-01-21T15:10:42Z,79,3532,151.8,182
New playlist 🎵🎶,7.2261097703,2023-01-20T22:37:57Z,20,3223,150.9,167
ACCEPTED for the RBC Brooklyn Half ,6.293680447700001,2023-01-18T22:00:36Z,17,2946,148.5,167
Another ez treadmill run,5.1509170416000005,2023-01-18T00:16:36Z,0,2401,131.4,143
🏙️🌇,7.4988916393,2023-01-16T19:41:40Z,103,3182,160.1,191
Easy treadmill run,5.6044557345,2023-01-15T15:57:37Z,0,2700,144.3,154
Getting some CP miles,5.0890906271,2023-01-14T20:27:36Z,59,2344,158.3,179
Missed the sunset 🌆,5.639625333100001,2023-01-13T22:10:57Z,39,2579,149.2,161
Back in central park 🏞️,8.0703044109,2023-01-11T23:02:16Z,109,3572,157,174
Steady miles. Getting back in shape,7.0305643166000005,2023-01-09T23:40:20Z,20,3241,141.5,161
Appreciating pain free endorphins ,5.9536662365,2023-01-08T23:51:58Z,18,2719,145.3,164
30 min,3.8539293533000003,2023-01-06T22:37:26Z,18,1801,136.8,154
Calf not as tight,4.0188412167,2023-01-05T21:47:48Z,7,1810,147.3,168
Easing in,3.9258841151,2023-01-02T17:32:22Z,8,1863,141.9,167
New year new kicks,4.4090622047,2023-01-01T21:06:16Z,13,1939,149.3,167
45 min Treadmill ,5.177387446200001,2022-12-26T22:09:54Z,0,2701,133.8,152
Treadmill run,5.9692626486,2022-12-25T15:39:12Z,0,3166,136.7,154
Afternoon Row,0,2022-12-23T21:32:34Z,0,991,114.6,126
Treadmill,4.0028098449,2022-12-22T22:17:18Z,0,2103,121.6,137
Evening Run,4.0016913771,2022-12-21T23:23:42Z,6,1922,133.3,155
Steasy ,6.353518475,2022-12-21T00:15:11Z,12,3050,151,162
Solid Long Run with Nick,12.5467853691,2022-12-18T13:34:46Z,147,5738,149.8,165
Keep it steasy,6.5675186474,2022-12-17T18:29:27Z,33,3054,151.2,166
rainy run,8.202718571,2022-12-16T23:53:06Z,106,3794,143.9,162
Post happy hour treadmill run,2.1801422906,2022-12-16T02:16:32Z,0,1053,128.9,147
X3 lower loop workout,8.0083537222,2022-12-14T23:57:39Z,99,3374,146.1,162
Brrrrr 🧊,6.368244967700001,2022-12-13T12:07:40Z,24,2933,143.7,165
50 min on treadmill to sweat out the beers,6.0767598316,2022-12-11T20:07:59Z,0,3001,130.5,145
Warmdown,2.9044123282,2022-12-10T18:38:58Z,10,1340,147.2,159
10 mile progression ,10.0589401593,2022-12-10T17:24:10Z,36,4079,155.5,183
Perfect weather for a run ,6.404470897,2022-12-09T20:04:30Z,23,2946,134.1,158
Actually 7.5 but gps lost signal ,6.0151819655,2022-12-08T20:23:01Z,65,2654,162.1,181
Didn't sync properly ,1.6001545992,2022-12-08T20:06:54Z,27,664,116.8,133
Gloomy 8 miler,8.0105906578,2022-12-07T22:51:22Z,25,3418,151.2,165
Relaxed 10k,6.2555904053999996,2022-12-05T20:16:11Z,8,2796,138.5,155
45 mile week,6.1045972524,2022-12-04T22:54:11Z,64,2955,143.8,163
Ted Corbitt 15k ,9.463231781600001,2022-12-03T13:32:59Z,121,4126,161.8,182
Warmup....taking forever to start,1.8870415899000001,2022-12-03T13:05:23Z,32,900,136.4,159
Easy 45 minute treadmill run,5.3086210014,2022-12-02T22:50:03Z,0,2702,134.5,144
Beautiful day,7.9998409395,2022-12-01T19:27:52Z,112,3496,147.5,164
184 more miles for a 2000 mile year ,6.5171254593,2022-11-30T23:03:57Z,54,3001,150.1,175
Back on the Hudson. Feels cold,8.1935222802,2022-11-29T22:16:48Z,23,3672,148.2,169
Tour de Tukke,11.124529287200001,2022-11-28T01:08:41Z,60.4,4963,,
Afternoon Swim ,0.710227053,2022-11-26T21:10:45Z,0,929,90.6,137
The tuke loop,6.6669380074,2022-11-26T18:07:24Z,48,3085,151.8,174
Thanksgiving Squad run!!!,5.3487615680000005,2022-11-25T20:30:02Z,50,2877,140.1,163
Thanksgiving trail run with Cousin Ding,7.0679087137000005,2022-11-24T16:08:11Z,134,3871,142.2,163
Ahwatukke 7 by 7,7.0192553644,2022-11-23T23:11:54Z,33,2944,152.9,167
Steasy run,4.3594767989,2022-11-22T18:16:26Z,35,2049,152.3,169
Steasy run to LA Fitness for a lift,4.0140566600000005,2022-11-21T00:20:50Z,2,1882,148.2,158
Hometown half ,13.3766263396,2022-11-19T14:07:25Z,19,5424,155,168
Prerace jog with sis,1.5094344331999998,2022-11-19T00:33:00Z,17,960,131.3,147
Neighborhood loop,6.6437608691,2022-11-17T23:37:35Z,72,2976,147,160
Some trail running to meet my daily mileage goal,3.0137114871,2022-11-17T00:23:16Z,48,1488,148.7,166
Warmdown ,1.9365648586,2022-11-16T16:23:21Z,34,909,161.3,170
Tasting some race pace,4.0639527513,2022-11-16T15:56:42Z,4,1562,153.3,176
Overdressed for the cold,5.6913234003,2022-11-14T22:30:16Z,25,2593,148.3,164
Legs are dead,2.4168846416,2022-11-13T21:47:04Z,12,1191,143.3,159
They ruined the east side running paths :(,2.0053506283,2022-11-13T21:19:50Z,6,1122,121.8,141
Lower Loops ,3.4540149777,2022-11-12T19:21:27Z,31,1903,149.3,162
Meetup run. ,3.3826815869,2022-11-12T18:44:59Z,40,1537,152.1,170
Steady 5k straight to dinner 🍶,3.1875710929,2022-11-11T23:56:27Z,27,1611,142.6,159
Mile jog w Amy ,1.0000344874,2022-11-11T00:06:55Z,2.3,511,,
Should've done a full loop still have a mile or two in me,5.6876573114,2022-11-10T22:21:45Z,61,2505,139.2,161
Catching the sunset ,6.2848569795,2022-11-09T21:07:57Z,19,2849,141.9,162
Beautiful fall weather ☀️,7.0321798812,2022-11-08T19:59:45Z,32,3117,148.3,164
Ez tm,2.2539611654000002,2022-11-07T20:43:21Z,0,1230,117.8,142
Rough run legs are dead. I still hit the 40,9.4745407338,2022-11-06T23:17:10Z,11,4461,152.1,172
Steady 6 miles,6.2520485907,2022-11-05T22:04:13Z,12,2872,149,161
Evening Run w Amy. She crushed it 🏃‍♀️,3.8868620163000003,2022-11-04T22:53:22Z,13.8,2211,142.6,161
CP loop with Nick,6.9238127787999995,2022-11-03T21:27:25Z,94,3178,163.1,185
Little island has top tier 🚻,6.2399318562,2022-11-02T23:18:34Z,16,3005,126.5,148
Part of Central Park closed up for the Marathon,7.5330049072000005,2022-11-01T22:38:38Z,85,3340,143.4,163
Running on the bike lane with my Citi bike bodyguard ,4.8294818233,2022-10-30T21:25:54Z,3,2227,148,166
Westside long run,10.854605724799999,2022-10-29T16:47:40Z,20,4970,144.6,161
Night Ride,2.577446908,2022-10-29T03:06:58Z,3.4,1118,,
🍂🍁,6.246642663,2022-10-28T21:43:57Z,5,2972,151.7,171
Showing sis the route,4.3985610348,2022-10-27T23:27:42Z,25,2641,137.7,150
Legs weren't feeling it ,7.0050259685,2022-10-26T22:26:31Z,15,3205,143.7,165
Rainy run with Nick,7.6552285828999995,2022-10-24T21:25:08Z,103,3503,154.7,170
Afternoon Run,1.1948342959,2022-10-23T17:53:20Z,3,607,137.5,155
Will pickup the mileage next week!,8.118833486,2022-10-23T16:31:28Z,16,3602,150.8,169
3.5 steady + 2 miles with Amy,5.866550022299999,2022-10-21T21:30:53Z,12,3032,147.1,172
Warmdown,1.5444176205,2022-10-20T21:53:28Z,13,779,149,160
Good to be back on the WSH. Looking vibrant today ,6.013752812200001,2022-10-20T21:08:39Z,11,2443,145.8,164
Peace out SF ✌️☮️,4.134664771100001,2022-10-19T00:47:05Z,36,1976,153,167
These hills are tough,7.2913537253,2022-10-18T01:04:41Z,62,3448,150.9,167
Long run with Cousin Ding.,10.5955561549,2022-10-16T17:07:54Z,115,5467,146.5,175
First mile with Sis and solo run,4.5131418472,2022-10-15T01:52:40Z,12,2318,141,161
Getting back into it,5.892212644600001,2022-10-14T01:51:47Z,31,2838,,
💪 Epic PR 🎖️,13.1398218515,2022-10-09T12:01:40Z,107,5030,173.8,192
Shakeout. Race pace feels decent. This training block was tough,4.3903589376,2022-10-06T21:40:18Z,55,1846,166.8,192
Shakeout,3.9373794786000005,2022-10-04T20:41:15Z,11,1869,155.3,172
500 miles in my Endorphin Speeds ✅,6.6589223215,2022-10-02T15:36:10Z,27,3194,142.9,172
Lunch Treadmill Run,6.0587400726,2022-10-01T15:15:28Z,0,3008,141,156
Getting a quality run in before the weekend rain storms ,10.0182403588,2022-09-30T15:25:37Z,28,4298,150.5,169
3 steady + 3 on ,6.0093410781,2022-09-29T20:48:31Z,17,2539,151.2,174
Ez run,4.4263984556,2022-09-27T22:02:24Z,10,2103,157.1,174
5 steady + 5 "on",10.008422697,2022-09-25T14:22:11Z,21,4159,151.3,170
Ez 5k. Did 3 miles at 10:30 pace with a friend before the 5k,3.1034374595000003,2022-09-24T19:22:18Z,5,1515,145.4,162
Run with Amy,3.1361215741,2022-09-24T18:07:44Z,42,1871,134.7,149
Warmdown ,2.804868694,2022-09-23T15:56:27Z,28,1404,139.7,154
A taste of fall 🍂,7.1741010176,2022-09-23T15:03:39Z,102,2866,171.7,194
Ez treadmill run,4.0788035182,2022-09-22T20:15:34Z,0,2157,146,157
No more spicy lunches ,2.1548524909,2022-09-22T00:18:42Z,21,1005,152.1,164
Tbc,5.8226190926,2022-09-21T23:18:36Z,60,2630,143.7,163
Weekly refresh. Rest day + ez run,5.0070696551000005,2022-09-20T14:38:40Z,15,2438,152.8,165
Warmdown ,2.6524463877,2022-09-18T15:18:45Z,30,1356,146.1,161
Happy with the time. Had a hard workout Thursday too,10.243984443099999,2022-09-18T12:07:06Z,94,3978,176.3,197
Bag check far af ,0.3623214301,2022-09-18T12:00:56Z,13,247,143.1,150
Jog to essa bagel ,4.1907745724,2022-09-17T16:23:46Z,46,2046,156.3,175
Lunch was too spicy. Didn't feel good.,5.0409343746,2022-09-16T21:50:22Z,0,2701,144,154
Warmdown,1.1642628427000001,2022-09-15T22:35:12Z,10,596,152.9,165
Confidence boosting Tempo Run™️,7.1672037995,2022-09-15T21:40:49Z,85,2892,166.8,191
Steasy 10k,6.479656788,2022-09-13T23:02:06Z,27,3007,134.6,165
Recovery from a decent training week,5.0043977598,2022-09-12T23:11:03Z,12,2634,146.5,168
Someone tried to trip me while I was warming down. ,4.724345850100001,2022-09-11T13:45:10Z,31,2116,159,172
Doooty callin,1.0000344874,2022-09-11T13:20:04Z,5,334,152.9,175
Finding the start,2.5372442043000003,2022-09-11T12:49:02Z,40,1166,141.1,157
Smooth & Steady 10 piece,10.3204130761,2022-09-10T16:58:05Z,23,4603,160.3,179
My ankle was sore when I started. I switched shoes and was able to finish my run. ,7.053803592,2022-09-09T19:34:03Z,19,3367,148.7,164
Ez run in my new On Clouds,6.019842248,2022-09-08T21:46:37Z,11,2903,145.7,170
Easy jog ,3.7852057207,2022-09-07T22:53:08Z,23,1925,146.5,171
Speedwork hurts ,1.2577791782,2022-09-07T22:33:42Z,4,424,141.3,163
Warmup and meetup for a track workout,3.1297835898999997,2022-09-07T21:52:30Z,15,1397,150.2,172
🌧️can't control the weather on race day either,4.5356354774,2022-09-06T20:43:32Z,8,2093,158.4,171
Getting the 40 in ,3.1332632675,2022-09-04T15:10:20Z,29,1478,157,177
💀need an easy week ,6.1027331394,2022-09-04T14:03:59Z,97,2645,148,176
Easy run to brunch. Brought an extra shirt,5.218149383799999,2022-09-03T15:40:55Z,22,2480,145.9,162
Getting the miles in,4.8716729142,2022-09-02T12:55:43Z,12,2185,156.9,168
Legs too sore for a tempo run,3.0358944318,2022-09-02T12:29:38Z,0,1228,143.5,161
Coming in hot for my fantasy football draft ,7.424762079,2022-09-01T21:54:06Z,80,3281,154.6,176
Easy miles,4.6032406422,2022-08-31T23:48:13Z,10,2232,140.7,158
Sweat work,8.0861493714,2022-08-30T22:27:55Z,98,3546,151.5,175
Struggle run home,3.0526714488,2022-08-28T20:23:34Z,8,1453,152.3,174
Hit a wall 👩‍🍳,8.321214020700001,2022-08-28T18:56:13Z,18,3677,164.6,190
Warmdown after water break,0.8150523407,2022-08-27T19:20:03Z,5,384,155.8,165
Scorching weather but feeling good,6.230673428299999,2022-08-27T18:14:02Z,3,2639,163.7,187
Legs sore from concert yesterday ,6.1810880225,2022-08-26T20:48:39Z,8,2805,150.8,166
50 min treadmill,5.688713642100001,2022-08-25T21:15:04Z,0,3007,134.8,149
